"Species","Year","q05","q50","mean","q95"
"BLKI",1968,70792.8706404258,130021.58864447,175012.437443421,325240.320707291
"BLKI",1969,77857.2243235452,132782.873767789,171686.87501741,310611.044118687
"BLKI",1970,85282.1794729417,136534.187033092,170000.233062757,293530.564629256
"BLKI",1971,93074.6721189424,140178.607309601,169808.514261134,282187.943080658
"BLKI",1972,100681.248062086,144678.863088842,170964.351356696,273796.077236781
"BLKI",1973,108389.092493579,150199.075068253,173317.400730021,267027.808722704
"BLKI",1974,116212.73522922,155486.474454469,176713.051462998,265466.185104054
"BLKI",1975,122916.980813005,162013.666792868,180991.104566699,266389.733470425
"BLKI",1976,130039.413326754,168910.001320993,185985.554683822,268667.581207363
"BLKI",1977,136267.114639458,175485.130271674,191526.020590342,272299.384830843
"BLKI",1978,142277.833353897,182153.711578511,197440.796020491,280209.130489891
"BLKI",1979,147542.782095131,188974.621241305,203560.991435336,284435.614580694
"BLKI",1980,152556.953375316,195575.132748838,209724.887982059,290840.495897759
"BLKI",1981,157796.825533272,201885.207740277,215781.507915414,297471.388385482
"BLKI",1982,161615.105599938,207725.834679041,221592.567884994,307553.957894487
"BLKI",1983,166050.442811448,213436.267638231,227032.399442321,313428.349534516
"BLKI",1984,170178.893014929,218678.723030805,231985.993419254,320849.485393128
"BLKI",1985,174178.257423771,223182.02774032,236345.899461904,325852.381107929
"BLKI",1986,177576.721300022,227011.858680285,240009.134817519,329464.487068474
"BLKI",1987,180154.299836131,229568.384282854,242875.414208092,333228.500906304
"BLKI",1988,181706.415531952,231730.548014631,244847.85334417,335303.956937288
"BLKI",1989,182430.792499722,232996.942590517,245836.831746123,337759.775269127
"BLKI",1990,181997.343320151,232951.317500504,245766.99154789,339200.450842649
"BLKI",1991,181476.92709445,231857.424472561,244586.519904282,336141.376459564
"BLKI",1992,180123.399116142,229800.109739496,242277.092582571,330678.855652521
"BLKI",1993,178114.197139881,226811.406027152,238862.361889832,327540.739418452
"BLKI",1994,175511.909518782,222633.116130049,234412.851091086,320560.510335166
"BLKI",1995,172467.087713599,217933.320940036,229045.663696898,310886.130258196
"BLKI",1996,168749.327792386,212259.041470642,222918.445313223,299624.29814644
"BLKI",1997,164755.975034762,206484.148819463,216218.277487607,288891.992309539
"BLKI",1998,160227.531178369,199780.355979085,209147.264767504,279152.999360596
"BLKI",1999,156042.679346691,193011.616051144,201907.173135909,267009.888404362
"BLKI",2000,151897.836799132,186362.34618708,194685.448683605,256431.695538657
"BLKI",2001,147603.327131671,179782.265274773,187644.378057599,246759.903375238
"BLKI",2002,143634.126020065,173313.605564758,180914.300316423,236175.862324221
"BLKI",2003,139243.408986194,167118.460745931,174590.933489772,228658.09068943
"BLKI",2004,135165.404015319,161560.351196473,168736.248983007,221173.061144704
"BLKI",2005,131502.657016336,156416.168710999,163381.992473765,214689.364373343
"BLKI",2006,128158.439216975,151606.063042152,158534.876800194,208369.689066241
"BLKI",2007,124737.071695742,147178.293100838,154182.567316457,203801.265604077
"BLKI",2008,121665.261451267,143212.276371104,150299.746677879,199908.824913961
"BLKI",2009,119211.952891232,139866.46566103,146853.718013655,194845.159937944
"BLKI",2010,116754.067691613,136442.497802366,143809.15614046,191678.398649471
"BLKI",2011,114314.807676796,133588.829065612,141131.748581764,190723.394739445
"BLKI",2012,112479.612593958,130983.549618405,138790.596399776,187771.962118394
"BLKI",2013,110701.872342001,128935.705759494,136759.379655756,185667.566189931
"BLKI",2014,108841.308593899,127141.195044127,135016.430823415,184357.925396952
"BLKI",2015,106567.724300081,125413.113545051,133543.985777636,184707.134396362
"BLKI",2016,103890.926069352,124495.838833914,132326.974527352,184758.619834677
"BLKI",2017,100912.121413376,123495.220212607,131351.755104399,185959.817061223
"BLKI",2018,98543.7963800972,122534.977171786,130605.177157643,186768.929892867
"BLKI",2019,95796.4948147596,122052.504450082,130074.292355621,189267.190179733
"BLKI",2020,93254.7095506322,121582.820960328,129746.922183083,188556.693910958
"BLKI",2021,90464.9752189558,121304.658470323,129613.172853321,192176.526640067
"COMU",1950,559508.335061864,10160723.5010654,5821898185.68541,1140808533.91969
"COMU",1951,567624.501735972,9160163.11047326,3637451386.09564,897822427.306587
"COMU",1952,570525.224371238,8105392.33473715,2310742636.63016,704294514.20273
"COMU",1953,571869.296919206,7241245.62247511,1489496132.36286,553371071.896544
"COMU",1954,559838.19861053,6530372.01718905,970163681.054287,431390960.792491
"COMU",1955,560697.702992635,5909038.64326217,634748336.040032,339104052.00204
"COMU",1956,555749.967222749,5299740.0963749,414308498.386009,265653979.733531
"COMU",1957,554290.584981155,4813202.71215657,267968764.590474,203178458.351349
"COMU",1958,554023.03613551,4291372.98144954,170829206.797683,158158743.397235
"COMU",1959,539905.679836998,3811436.04582497,107046835.276817,119614359.727799
"COMU",1960,551166.480784758,3309595.11426159,65991641.1102109,90927375.9235553
"COMU",1961,537737.462825896,2862092.32309785,40220878.4020246,65903281.5990553
"COMU",1962,521113.618164295,2468781.5780934,24452947.7187791,45877595.9427068
"COMU",1963,505236.212522725,2146656.9766581,15009207.8909399,32138148.4799275
"COMU",1964,489061.93434846,1889402.28290463,9428948.1329992,21838289.0373386
"COMU",1965,468342.694115698,1645326.07636768,6143888.62248097,15275435.0354835
"COMU",1966,449494.83888912,1459987.48813253,4198615.67959209,11198500.2545883
"COMU",1967,447162.456681895,1313821.92275834,3030957.9562439,8420138.97846199
"COMU",1968,439362.200326887,1199299.79626897,2317101.46443239,6391810.93246501
"COMU",1969,427734.07858173,1123052.03696757,1872035.75778499,4798906.82129284
"COMU",1970,435280.326906634,1067675.8163899,1589761.03754341,3813523.42797095
"COMU",1971,443084.756823802,1027308.8750135,1408865.67031975,3220835.23678621
"COMU",1972,461544.300748101,1004167.84244904,1293120.72879959,2747570.6210395
"COMU",1973,484462.463637187,980189.135417053,1220606.17889038,2493776.06235575
"COMU",1974,493332.55017163,973163.45858441,1177604.92953959,2286931.87264798
"COMU",1975,497006.52776847,971361.680521727,1155160.61576674,2206261.73995424
"COMU",1976,501266.209506982,973436.435104458,1147140.43213386,2177565.95607675
"COMU",1977,505759.408308429,976387.817121947,1149166.34463642,2192225.07580488
"COMU",1978,514070.868135152,985589.734886377,1158057.52713492,2167465.74700969
"COMU",1979,521138.573588698,991374.622378054,1171567.03856937,2267562.59080107
"COMU",1980,519128.766368477,999405.146137864,1188261.56873545,2302314.48776215
"COMU",1981,520154.122951218,1008692.48303553,1207432.35920686,2379663.38191683
"COMU",1982,524205.247195785,1020413.02622666,1228966.98290975,2449067.88994301
"COMU",1983,529493.290848917,1025445.31352905,1253157.98981145,2507686.45660853
"COMU",1984,535154.900537233,1041774.66239935,1280460.34028854,2554034.22100205
"COMU",1985,538611.825370913,1055182.90629669,1311224.16492934,2611185.04460493
"COMU",1986,537746.388548584,1069938.6740978,1345428.10615445,2779270.06735654
"COMU",1987,542380.947943473,1084984.07283239,1382436.03864814,2876466.32226994
"COMU",1988,544575.401935947,1092982.47647914,1420807.72404172,3000962.85291144
"COMU",1989,549704.6694459,1102989.6330644,1458213.76117336,3165190.53654856
"COMU",1990,542642.776042888,1115830.42542727,1491527.24777749,3254211.85697722
"COMU",1991,542741.307082,1121753.64373972,1517164.93800196,3314170.63027676
"COMU",1992,537489.216907942,1128240.01801364,1531696.69309237,3399961.90576539
"COMU",1993,534463.624345477,1125819.99477208,1532621.20114906,3428188.57011144
"COMU",1994,532264.197048619,1123735.24182813,1519068.03073743,3360482.81769784
"COMU",1995,528464.340786487,1119904.48597487,1492140.26788568,3306357.39305518
"COMU",1996,526162.327505357,1111844.4635332,1454736.44874732,3178226.56337435
"COMU",1997,524627.829670335,1098411.37304004,1410929.527749,3080003.14669566
"COMU",1998,525459.85353728,1087528.88114676,1365170.23837364,2877654.07979125
"COMU",1999,533952.333326525,1076079.11297212,1321602.14644174,2817151.31526917
"COMU",2000,538818.418723331,1069239.12784838,1283651.12164996,2710697.16594553
"COMU",2001,543016.639051724,1061323.27158397,1253898.30636387,2495549.13858244
