"Species","Year","q05","q50","mean","q95"
"NOFU",1992,132.749271681689,181.54817395113,186.801483959143,257.459076935715
"NOFU",1993,133.094555776629,181.839679740498,187.16454654377,256.469508304452
"NOFU",1994,132.665768361382,181.518956046933,186.200129154011,253.351595914875
"NOFU",1995,130.922661986816,179.531294202825,183.940158303856,248.504374435767
"NOFU",1996,129.840442096086,176.798098242507,180.486869388063,242.199714172269
"NOFU",1997,127.583617695649,173.340297179728,175.996095714142,234.666486312695
"NOFU",1998,124.311313328168,168.500080319643,170.654528580613,226.028373711233
"NOFU",1999,120.453631342279,162.470427181057,164.656152227917,217.726408802673
"NOFU",2000,115.894582881244,155.754354246189,158.182448346914,208.086749066412
"NOFU",2001,110.738513486868,149.093021634206,151.389217218785,199.26432754209
"NOFU",2002,106.081724862968,142.117583450988,144.400813933776,189.560868019874
"NOFU",2003,100.899729101975,134.827995163126,137.310928914153,180.569275692843
"NOFU",2004,95.489558946415,127.806840505182,130.188052950349,173.094663379728
"NOFU",2005,89.7477137183206,121.031529439352,123.083427159468,164.219070875404
"NOFU",2006,84.0022765784949,113.904767030093,116.039401622496,155.119007201922
"NOFU",2007,78.8123388145405,106.998058132418,109.09652562797,147.213742473678
"NOFU",2008,73.0146330040266,100.145521167446,102.29824216494,138.907197930469
"NOFU",2009,67.4646429641331,93.5184549620098,95.6926822594219,130.810325371583
"NOFU",2010,62.1432913197014,87.2828783651393,89.3316791846435,123.508959053047
"NOFU",2011,56.8735715963129,81.0525818090138,83.2676568425603,116.659968030738
"NOFU",2012,51.4404170465887,74.9547747847612,77.5493910664695,112.148940103415
"NOFU",2013,45.6402971833302,69.452261347789,72.2177292802361,107.399966864949
"NOFU",2014,40.1301064448373,64.0425387049369,67.3021843644635,103.839344270527
"NOFU",2015,34.7813684698244,59.0574356702704,62.8189708507449,100.536932255696
"NOFU",2016,30.2670993572451,54.5106821060365,58.770649585149,99.589629490105
"NOFU",2017,25.659132999064,50.4256506619831,55.1472094968779,98.6993649323941
"NOFU",2018,21.8207739259568,46.7819184861355,51.9282135668103,99.1030581010412
"NOFU",2019,18.5000803553557,43.513741111243,49.0855810299204,99.1857952818137
"NOFU",2020,15.6240257876731,40.0009510450374,46.5866333974816,99.6478237723483
"NOFU",2021,13.1529015815874,37.1639267066782,44.3971444779637,99.6478927655369
"NOGA",1950,18052.5924136662,54002.4115550324,63637.0276907187,137698.141879028
"NOGA",1951,19442.3032535264,54642.7657592764,63146.3410448601,132223.78578368
"NOGA",1952,20925.7940756451,55336.4399221234,62751.6998655865,127747.937184396
"NOGA",1953,22358.0035704808,55797.9959693388,62445.2028213205,122771.465040113
"NOGA",1954,24270.340961815,56257.251117715,62217.224260952,118435.505479887
"NOGA",1955,26256.2266681092,56951.3545136142,62056.7324736678,114269.494409637
"NOGA",1956,28253.5452663433,57306.848362316,61951.7073245626,110204.158117634
"NOGA",1957,30550.5060516198,57758.285235666,61889.6542053613,106490.175788838
"NOGA",1958,32852.1743524433,58251.4753713792,61858.1979976049,102418.913010308
"NOGA",1959,34812.1014620518,58689.3301924102,61845.7263132167,98663.3728210304
"NOGA",1960,36967.4879838443,59233.8953709764,61842.0386293661,95216.003953303
"NOGA",1961,38618.5286446426,59523.0764360973,61838.9497830591,92484.9367439544
"NOGA",1962,40630.063563897,59637.6547392812,61830.794826479,89662.4057341799
"NOGA",1963,42255.651714148,59947.5018277886,61814.7886772293,87091.053501521
"NOGA",1964,43945.0013330982,60251.5757818938,61791.2081215016,84525.407947623
"NOGA",1965,45343.9663190492,60583.573923635,61763.3837356185,82483.6865624239
"NOGA",1966,46853.0764539853,60728.5523336007,61737.512002656,80188.8755196645
"NOGA",1967,48344.2633073327,60832.8301362339,61722.3194076883,78057.4828404506
"NOGA",1968,49872.3043196769,60952.8738555359,61728.6268584784,76048.0817584601
"NOGA",1969,51158.0272912035,61155.8377926553,61768.8717017268,74375.9476056149
"NOGA",1970,52510.0980347466,61299.9383053913,61856.6448070441,72784.1846733152
"NOGA",1971,53661.9126523605,61576.7075963222,62006.2923143907,71586.8669506125
"NOGA",1972,54929.9289989247,61858.3102588348,62232.6177108572,70618.8023922778
"NOGA",1973,56152.9572678106,62297.5936358067,62550.7026998948,69907.9387261548
"NOGA",1974,57110.3959443139,62747.8922197891,62975.8477054501,69628.5551822559
"NOGA",1975,58142.2438856407,63338.7680076941,63523.6172046631,69605.019800728
